Fiscal Year,TIF Number,TIF Name,Period,Amount
2014,T-111,105th/Vincennes,Beginning Balance,79281
2014,T-111,105th/Vincennes,Ending Balance,114502
2014,T-073,111th Street/Kedzie Avenue Business District,Beginning Balance,3203993
2014,T-073,111th Street/Kedzie Avenue Business District,Ending Balance,3278114
2014,T-114,119th and Halsted,Beginning Balance,3515651
2014,T-114,119th and Halsted,Ending Balance,4124936
2014,T-125,119th/I-57,Beginning Balance,5745995
2014,T-125,119th/I-57,Ending Balance,4895102
2014,T-010,126th and Torrence,Beginning Balance,1215193
2014,T-010,126th and Torrence,Ending Balance,918519
2014,T-159,134th and Avenue K,Beginning Balance,20593
2014,T-159,134th and Avenue K,Ending Balance,0
2014,T-072,24th/Michigan,Beginning Balance,47636376
2014,T-072,24th/Michigan,Ending Balance,14712197
2014,T-141,26th and King Drive,Beginning Balance,844499
2014,T-141,26th and King Drive,Ending Balance,883109
2014,T-079,35th and Wallace,Beginning Balance,4171495
2014,T-079,35th and Wallace,Ending Balance,4772933
2014,T-001,35th/Halsted,Beginning Balance,20328678
2014,T-001,35th/Halsted,Ending Balance,22985458
2014,T-131,35th/State,Beginning Balance,2616872
2014,T-131,35th/State,Ending Balance,2733347
2014,T-055,43rd/Cottage Grove,Beginning Balance,13231650
2014,T-055,43rd/Cottage Grove,Ending Balance,15261027
2014,T-120,45th/Western Industrial Park Conservation Area,Beginning Balance,451683
2014,T-120,45th/Western Industrial Park Conservation Area,Ending Balance,465867
2014,T-117,47th/Ashland,Beginning Balance,18211472
2014,T-117,47th/Ashland,Ending Balance,15425689
2014,T-121,47th/Halsted,Beginning Balance,14223927
2014,T-121,47th/Halsted,Ending Balance,15030184
2014,T-118,47th/King Drive,Beginning Balance,32716899
2014,T-118,47th/King Drive,Ending Balance,33907239
2014,T-136,47th/State,Beginning Balance,7623132
2014,T-136,47th/State,Ending Balance,8683187
2014,T-004,49th Street/St. Lawrence Avenue,Beginning Balance,2658377
2014,T-004,49th Street/St. Lawrence Avenue,Ending Balance,2837963
2014,T-097,51st/Archer,Beginning Balance,9070431
2014,T-097,51st/Archer,Ending Balance,7771110
2014,T-105,53rd Street,Beginning Balance,1644208
2014,T-105,53rd Street,Ending Balance,1874122
2014,T-005,60th and Western,Beginning Balance,3480258
2014,T-005,60th and Western,Ending Balance,1567441
2014,T-143,63rd/Ashland,Beginning Balance,3245119
2014,T-143,63rd/Ashland,Ending Balance,3598335
2014,T-098,63rd/Pulaski,Beginning Balance,5704684
2014,T-098,63rd/Pulaski,Ending Balance,5360838
2014,T-124,67th/Cicero,Beginning Balance,876605
2014,T-124,67th/Cicero,Ending Balance,1424424
2014,T-138,69th/Ashland,Beginning Balance,859235
2014,T-138,69th/Ashland,Ending Balance,1432327
2014,T-060,71st/Stony Island,Beginning Balance,18537978
2014,T-060,71st/Stony Island,Ending Balance,16299774
2014,T-145,73rd/University,Beginning Balance,2912259
2014,T-145,73rd/University,Ending Balance,2903589
2014,T-056,79th Street Corridor,Beginning Balance,6045634
2014,T-056,79th Street Corridor,Ending Balance,6222771
2014,T-112,79th Street/Southwest Highway,Beginning Balance,7305531
2014,T-112,79th Street/Southwest Highway,Ending Balance,7668659
2014,T-140,79th/Cicero,Beginning Balance,136036
2014,T-140,79th/Cicero,Ending Balance,166956
2014,T-155,79th/Vincennes,Beginning Balance,2146880
2014,T-155,79th/Vincennes,Ending Balance,2100214
2014,T-133,83rd/Stewart,Beginning Balance,569534
2014,T-133,83rd/Stewart,Ending Balance,815954
2014,T-127,87th/Cottage Grove,Beginning Balance,5535800
2014,T-127,87th/Cottage Grove,Ending Balance,4883138
2014,T-009,95th and Western,Beginning Balance,5131299
2014,T-009,95th and Western,Ending Balance,4536386
2014,T-008,95th Street and Stony Island,Beginning Balance,3254719
2014,T-008,95th Street and Stony Island,Ending Balance,4147598
2014,T-011,Addison Corridor North,Beginning Balance,9154681
2014,T-011,Addison Corridor North,Ending Balance,2184795
2014,T-150,Addison South,Beginning Balance,11618328
2014,T-150,Addison South,Ending Balance,11227589
2014,T-067,Archer Courts,Beginning Balance,1860322
2014,T-067,Archer Courts,Ending Balance,2035903
2014,T-099,Archer/Central,Beginning Balance,3417622
2014,T-099,Archer/Central,Ending Balance,2395244
2014,T-163,Archer/Western,Beginning Balance,842681
2014,T-163,Archer/Western,Ending Balance,690382
2014,T-151,Armitage/Pulaski,Beginning Balance,1172204
2014,T-151,Armitage/Pulaski,Ending Balance,1094944
2014,T-156,Austin Commercial,Beginning Balance,4321034
2014,T-156,Austin Commercial,Ending Balance,3418829
2014,T-123,Avalon Park/South Shore,Beginning Balance,2665980
2014,T-123,Avalon Park/South Shore,Ending Balance,2385623
2014,T-167,Avondale,Beginning Balance,1165661
2014,T-167,Avondale,Ending Balance,968925
2014,T-081,Belmont/Central,Beginning Balance,11432894
2014,T-081,Belmont/Central,Ending Balance,11223110
2014,T-082,Belmont/Cicero,Beginning Balance,4713161
2014,T-082,Belmont/Cicero,Ending Balance,5399582
2014,T-061,Bronzeville,Beginning Balance,16158744
2014,T-061,Bronzeville,Ending Balance,14859609
2014,T-013,Bryn Mawr/Broadway,Beginning Balance,10831431
2014,T-013,Bryn Mawr/Broadway,Ending Balance,11484996
2014,T-059,Calumet Avenue/Cermak Road,Beginning Balance,15951693
2014,T-059,Calumet Avenue/Cermak Road,Ending Balance,15460734
2014,T-168,Calumet River,Beginning Balance,0
2014,T-168,Calumet River,Ending Balance,0
2014,T-063,Canal/Congress,Beginning Balance,61191121
2014,T-063,Canal/Congress,Ending Balance,66278297
2014,T-086,Central West,Beginning Balance,68384833
2014,T-086,Central West,Ending Balance,57003957
2014,T-170,Chicago Lakeside Development Ph.1,Beginning Balance,0
2014,T-170,Chicago Lakeside Development Ph.1,Ending Balance,0
2014,T-115,Chicago/Central Park,Beginning Balance,66436822
2014,T-115,Chicago/Central Park,Ending Balance,56017958
2014,T-094,Chicago/Kingsbury,Beginning Balance,50158372
2014,T-094,Chicago/Kingsbury,Ending Balance,64467326
2014,T-096,Cicero/Archer,Beginning Balance,7190397
2014,T-096,Cicero/Archer,Ending Balance,7219919
2014,T-074,Clark Street and Ridge Avenue,Beginning Balance,6598692
2014,T-074,Clark Street and Ridge Avenue,Ending Balance,7418806
2014,T-070,Clark/Montrose,Beginning Balance,7640521
2014,T-070,Clark/Montrose,Ending Balance,8463971
2014,T-128,Commercial Avenue,Beginning Balance,11210265
2014,T-128,Commercial Avenue,Ending Balance,9995937
2014,T-134,Devon/Sheridan,Beginning Balance,4421051
2014,T-134,Devon/Sheridan,Ending Balance,4488613
2014,T-076,Devon/Western,Beginning Balance,7596900
2014,T-076,Devon/Western,Ending Balance,4650092
2014,T-129,Diversey/Narragansett,Beginning Balance,2554087
2014,T-129,Diversey/Narragansett,Ending Balance,3012864
2014,T-107,Division/Homan,Beginning Balance,7963214
2014,T-107,Division/Homan,Ending Balance,7768352
2014,T-122,Drexel Boulevard,Beginning Balance,139656
2014,T-122,Drexel Boulevard,Ending Balance,162966
2014,T-130,Edgewater/Ashland,Beginning Balance,1878764
2014,T-130,Edgewater/Ashland,Ending Balance,2115602
2014,T-153,Elston/Armstrong Industrial Corridor,Beginning Balance,1426224
2014,T-153,Elston/Armstrong Industrial Corridor,Ending Balance,1091497
2014,T-021,Englewood Mall,Beginning Balance,4722778
2014,T-021,Englewood Mall,Ending Balance,1991381
2014,T-106,Englewood Neighborhood,Beginning Balance,24050836
2014,T-106,Englewood Neighborhood,Ending Balance,13506435
2014,T-169,Ewing Avenue,Beginning Balance,3663825
2014,T-169,Ewing Avenue,Ending Balance,2463447
2014,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Beginning Balance,929691
2014,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Ending Balance,1016255
2014,T-087,Fullerton/Milwaukee,Beginning Balance,24575181
2014,T-077,Lincoln Avenue,Ending Balance,8755466
2014,T-087,Fullerton/Milwaukee,Ending Balance,16561697
2014,T-071,Galewood/Armitage Industrial,Beginning Balance,24371478
2014,T-071,Galewood/Armitage Industrial,Ending Balance,18513166
2014,T-023,Goose Island,Beginning Balance,13320394
2014,T-023,Goose Island,Ending Balance,11243560
2014,T-066,Greater Southwest Industrial Corridor (East),Beginning Balance,3202102
2014,T-066,Greater Southwest Industrial Corridor (East),Ending Balance,2518805
2014,T-092,Greater Southwest Industrial Corridor (West),Beginning Balance,8339476
2014,T-092,Greater Southwest Industrial Corridor (West),Ending Balance,5161962
2014,T-148,Harlem Industrial Park Conservation Area,Beginning Balance,554943
2014,T-148,Harlem Industrial Park Conservation Area,Ending Balance,437996
2014,T-144,Harrison/Central,Beginning Balance,1066219
2014,T-144,Harrison/Central,Ending Balance,841222
2014,T-157,Hollywood/Sheridan,Beginning Balance,3531593
2014,T-157,Hollywood/Sheridan,Ending Balance,3159897
2014,T-024,Homan-Arthington,Beginning Balance,4090429
2014,T-024,Homan-Arthington,Ending Balance,5619585
2014,T-108,Humboldt Park Commercial,Beginning Balance,7781811
2014,T-108,Humboldt Park Commercial,Ending Balance,5853133
2014,T-165,Irving Park/Elston,Beginning Balance,748278
2014,T-165,Irving Park/Elston,Ending Balance,447919
2014,T-027,Irving/Cicero,Beginning Balance,345020
2014,T-027,Irving/Cicero,Ending Balance,938035
2014,T-057,Jefferson Park Business District,Beginning Balance,4263439
2014,T-057,Jefferson Park Business District,Ending Balance,4508143
2014,T-101,Jefferson/Roosevelt,Beginning Balance,18359351
2014,T-101,Jefferson/Roosevelt,Ending Balance,16137588
2014,T-160,Kennedy/Kimball,Beginning Balance,615650
2014,T-160,Kennedy/Kimball,Ending Balance,325883
2014,T-052,Kinzie Industrial Corridor,Beginning Balance,48112530
2014,T-052,Kinzie Industrial Corridor,Ending Balance,56348066
2014,T-162,Kostner Avenue,Beginning Balance,-233
2014,T-162,Kostner Avenue,Ending Balance,0
2014,T-103,Lake Calumet Area Industrial,Beginning Balance,6617852
2014,T-103,Lake Calumet Area Industrial,Ending Balance,3109227
2014,T-119,Lakefront,Beginning Balance,579339
2014,T-119,Lakefront,Ending Balance,617223
2014,T-147,LaSalle Central,Beginning Balance,31173086
2014,T-147,LaSalle Central,Ending Balance,47851465
2014,T-109,Lawrence/Broadway,Beginning Balance,12130097
2014,T-109,Lawrence/Broadway,Ending Balance,13430039
2014,T-088,Lawrence/Kedzie,Beginning Balance,22044393
2014,T-088,Lawrence/Kedzie,Ending Balance,13091940
2014,T-116,Lawrence/Pulaski,Beginning Balance,7306554
2014,T-116,Lawrence/Pulaski,Ending Balance,5577674
2014,T-077,Lincoln Avenue,Beginning Balance,9880188
2014,T-028,Lincoln-Belmont-Ashland,Beginning Balance,1402934
2014,T-028,Lincoln-Belmont-Ashland,Ending Balance,-2761019
2014,T-164,Little Village East,Beginning Balance,452958
2014,T-164,Little Village East,Ending Balance,433482
2014,T-152,Little Village Industrial Corridor,Beginning Balance,1419549
2014,T-040,Roosevelt-Homan,Ending Balance,5585135
2014,T-152,Little Village Industrial Corridor,Ending Balance,1401257
2014,T-126,Madden/Wells,Beginning Balance,2813468
2014,T-126,Madden/Wells,Ending Balance,3000887
2014,T-075,Madison/Austin Corridor,Beginning Balance,14054665
2014,T-075,Madison/Austin Corridor,Ending Balance,13469354
2014,T-029,Michigan/Cermak,Beginning Balance,1796952
2014,T-029,Michigan/Cermak,Ending Balance,6740575
2014,T-089,Midway Industrial Corridor,Beginning Balance,4672621
2014,T-089,Midway Industrial Corridor,Ending Balance,4717273
2014,T-095,Midwest,Beginning Balance,49077482
2014,T-095,Midwest,Ending Balance,46069469
2014,T-102,Montclare,Beginning Balance,713837
2014,T-102,Montclare,Ending Balance,776772
2014,T-173,Montrose/Clarendon,Beginning Balance,0
2014,T-173,Montrose/Clarendon,Ending Balance,0
2014,T-030,Near North,Beginning Balance,57716977
2014,T-030,Near North,Ending Balance,64075780
2014,T-031,Near South,Beginning Balance,125431493
2014,T-031,Near South,Ending Balance,34604993
2014,T-033,North Branch (North),Beginning Balance,32892846
2014,T-033,North Branch (North),Ending Balance,11265208
2014,T-034,North Branch (South),Beginning Balance,25539986
2014,T-034,North Branch (South),Ending Balance,17557448
2014,T-166,North Pullman,Beginning Balance,99798
2014,T-166,North Pullman,Ending Balance,4030129
2014,T-035,North-Cicero,Beginning Balance,895737
2014,T-035,North-Cicero,Ending Balance,1970209
2014,T-064,Northwest Industrial Corridor,Beginning Balance,18326511
2014,T-064,Northwest Industrial Corridor,Ending Balance,18011851
2014,T-161,Ogden/Pulaski,Beginning Balance,4728314
2014,T-161,Ogden/Pulaski,Ending Balance,4525376
2014,T-100,Ohio/Wabash,Beginning Balance,1473683
2014,T-100,Ohio/Wabash,Ending Balance,1509399
2014,T-154,Pershing/King,Beginning Balance,199573
2014,T-154,Pershing/King,Ending Balance,176859
2014,T-090,Peterson/Cicero,Beginning Balance,1976214
2014,T-090,Peterson/Cicero,Ending Balance,2246760
2014,T-091,Peterson/Pulaski,Beginning Balance,6341998
2014,T-091,Peterson/Pulaski,Ending Balance,4805193
2014,T-053,Pilsen Industrial Corridor,Beginning Balance,44560073
2014,T-053,Pilsen Industrial Corridor,Ending Balance,50843157
2014,T-058,Portage Park,Beginning Balance,14758868
2014,T-058,Portage Park,Ending Balance,12445037
2014,T-135,Pratt/Ridge Industrial Park Conservation Area,Beginning Balance,670180
2014,T-135,Pratt/Ridge Industrial Park Conservation Area,Ending Balance,665035
2014,T-069,Pulaski Corridor,Beginning Balance,13214112
2014,T-069,Pulaski Corridor,Ending Balance,11021197
2014,T-172,Randolph/Wells,Beginning Balance,446399
2014,T-172,Randolph/Wells,Ending Balance,881664
2014,T-139,Ravenswood Corridor,Beginning Balance,4493639
2014,T-139,Ravenswood Corridor,Ending Balance,4575705
2014,T-036,Read-Dunning,Beginning Balance,10969320
2014,T-036,Read-Dunning,Ending Balance,13201617
2014,T-037,River South,Beginning Balance,50371935
2014,T-037,River South,Ending Balance,46209185
2014,T-104,River West,Beginning Balance,50523063
2014,T-104,River West,Ending Balance,43531179
2014,T-039,Roosevelt/Canal,Beginning Balance,2031524
2014,T-039,Roosevelt/Canal,Ending Balance,2053899
2014,T-038,Roosevelt/Cicero,Beginning Balance,12676785
2014,T-038,Roosevelt/Cicero,Ending Balance,11305135
2014,T-062,Roosevelt/Racine,Beginning Balance,5290005
2014,T-062,Roosevelt/Racine,Ending Balance,6085546
2014,T-068,Roosevelt/Union,Beginning Balance,9245271
2014,T-068,Roosevelt/Union,Ending Balance,9268932
2014,T-040,Roosevelt-Homan,Beginning Balance,9071872
2014,T-113,Roseland/Michigan,Beginning Balance,2247917
2014,T-113,Roseland/Michigan,Ending Balance,982970
2014,T-042,Sanitary Drainage and Ship Canal,Beginning Balance,468896
2014,T-042,Sanitary Drainage and Ship Canal,Ending Balance,965072
2014,T-093,South Chicago,Beginning Balance,7805169
2014,T-093,South Chicago,Ending Balance,8427225
2014,T-078,South Works Industrial,Beginning Balance,1041670
2014,T-078,South Works Industrial,Ending Balance,1110802
2014,T-149,Stevenson/Brighton,Beginning Balance,2948252
2014,T-149,Stevenson/Brighton,Ending Balance,2956758
2014,T-043,Stockyards Annex,Beginning Balance,8362498
2014,T-043,Stockyards Annex,Ending Balance,8228097
2014,T-045,Stockyards Southeast Quadrant Industrial,Beginning Balance,10686439
2014,T-045,Stockyards Southeast Quadrant Industrial,Ending Balance,10382603
2014,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Beginning Balance,6077848
2014,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Ending Balance,5886092
2014,T-146,Touhy/Western,Beginning Balance,9526297
2014,T-146,Touhy/Western,Ending Balance,3872927
2014,T-158,Weed/Freemont,Beginning Balance,694661
2014,T-158,Weed/Freemont,Ending Balance,447253
2014,T-083,West Irving Park,Beginning Balance,5145482
2014,T-083,West Irving Park,Ending Balance,5270164
2014,T-050,West Pullman Industrial Park Conservation Area,Beginning Balance,123223
2014,T-050,West Pullman Industrial Park Conservation Area,Ending Balance,24676
2014,T-171,West Woodlawn,Beginning Balance,940713
2014,T-171,West Woodlawn,Ending Balance,808859
2014,T-084,Western Avenue North,Beginning Balance,24045757
2014,T-084,Western Avenue North,Ending Balance,16240917
2014,T-085,Western Avenue South,Beginning Balance,26335940
2014,T-085,Western Avenue South,Ending Balance,14982403
2014,T-142,Western Avenue/Rock Island,Beginning Balance,5741477
2014,T-142,Western Avenue/Rock Island,Ending Balance,3838607
2014,T-048,Western/Ogden,Beginning Balance,31645766
2014,T-048,Western/Ogden,Ending Balance,24063573
2014,T-110,Wilson Yard,Beginning Balance,16050179
2014,T-110,Wilson Yard,Ending Balance,14333547
2014,T-065,Woodlawn,Beginning Balance,10752268
2014,T-065,Woodlawn,Ending Balance,11392687
2013,T-111,105th/Vincennes,Beginning Balance,181644
2013,T-111,105th/Vincennes,Ending Balance,79281
2013,T-073,111th Street/Kedzie Avenue Business District,Beginning Balance,3012177
2013,T-073,111th Street/Kedzie Avenue Business District,Ending Balance,3203993
2013,T-114,119th and Halsted,Beginning Balance,3463124
2013,T-114,119th and Halsted,Ending Balance,3515651
2013,T-125,119th/I-57,Beginning Balance,6773745
2013,T-125,119th/I-57,Ending Balance,5745995
2013,T-010,126th and Torrence,Beginning Balance,1357049
2013,T-010,126th and Torrence,Ending Balance,1215193
2013,T-159,134th and Avenue K,Beginning Balance,21060
2013,T-159,134th and Avenue K,Ending Balance,20593
2013,T-072,24th/Michigan,Beginning Balance,5217029
2013,T-072,24th/Michigan,Ending Balance,47636376
2013,T-141,26th and King Drive,Beginning Balance,1065721
2013,T-141,26th and King Drive,Ending Balance,844499
2013,T-079,35th and Wallace,Beginning Balance,3556109
2013,T-079,35th and Wallace,Ending Balance,4171495
2013,T-001,35th/Halsted,Beginning Balance,23779182
2013,T-001,35th/Halsted,Ending Balance,20328678
2013,T-131,35th/State,Beginning Balance,2182315
2013,T-131,35th/State,Ending Balance,2616872
2013,T-055,43rd/Cottage Grove,Beginning Balance,11088800
2013,T-055,43rd/Cottage Grove,Ending Balance,13231650
2013,T-120,45th/Western Industrial Park Conservation Area,Beginning Balance,403598
2013,T-120,45th/Western Industrial Park Conservation Area,Ending Balance,451683
2013,T-117,47th/Ashland,Beginning Balance,20299523
2013,T-117,47th/Ashland,Ending Balance,18211472
2013,T-121,47th/Halsted,Beginning Balance,14689274
2013,T-121,47th/Halsted,Ending Balance,14223927
2013,T-118,47th/King Drive,Beginning Balance,28608572
2013,T-118,47th/King Drive,Ending Balance,32716899
2013,T-136,47th/State,Beginning Balance,6619932
2013,T-136,47th/State,Ending Balance,7623132
2013,T-004,49th Street/St. Lawrence Avenue,Beginning Balance,2351632
2013,T-004,49th Street/St. Lawrence Avenue,Ending Balance,2658377
2013,T-097,51st/Archer,Beginning Balance,13110997
2013,T-097,51st/Archer,Ending Balance,9070431
2013,T-105,53rd Street,Beginning Balance,2584854
2013,T-105,53rd Street,Ending Balance,1644208
2013,T-005,60th and Western,Beginning Balance,3530204
2013,T-005,60th and Western,Ending Balance,3480258
2013,T-143,63rd/Ashland,Beginning Balance,2877483
2013,T-143,63rd/Ashland,Ending Balance,3245119
2013,T-098,63rd/Pulaski,Beginning Balance,6358600
2013,T-098,63rd/Pulaski,Ending Balance,5704684
2013,T-124,67th/Cicero,Beginning Balance,453209
2013,T-124,67th/Cicero,Ending Balance,876605
2013,T-138,69th/Ashland,Beginning Balance,1290446
2013,T-138,69th/Ashland,Ending Balance,859235
2013,T-060,71st/Stony Island,Beginning Balance,17092996
2013,T-060,71st/Stony Island,Ending Balance,18537978
2013,T-145,73rd/University,Beginning Balance,2796027
2013,T-145,73rd/University,Ending Balance,2912259
2013,T-056,79th Street Corridor,Beginning Balance,5550913
2013,T-056,79th Street Corridor,Ending Balance,6045634
2013,T-112,79th Street/Southwest Highway,Beginning Balance,6321196
2013,T-112,79th Street/Southwest Highway,Ending Balance,7305531
2013,T-140,79th/Cicero,Beginning Balance,722537
2013,T-140,79th/Cicero,Ending Balance,136036
2013,T-155,79th/Vincennes,Beginning Balance,2194305
2013,T-155,79th/Vincennes,Ending Balance,2146880
2013,T-133,83rd/Stewart,Beginning Balance,151730
2013,T-133,83rd/Stewart,Ending Balance,569534
2013,T-127,87th/Cottage Grove,Beginning Balance,6614822
2013,T-127,87th/Cottage Grove,Ending Balance,5535800
2013,T-049,89th and State,Beginning Balance,437197
2013,T-049,89th and State,Ending Balance,600313
2013,T-009,95th and Western,Beginning Balance,3474848
2013,T-009,95th and Western,Ending Balance,5131299
2013,T-008,95th Street and Stony Island,Beginning Balance,2275732
2013,T-008,95th Street and Stony Island,Ending Balance,3254719
2013,T-011,Addison Corridor North,Beginning Balance,9191886
2013,T-011,Addison Corridor North,Ending Balance,9154681
2013,T-150,Addison South,Beginning Balance,10182147
2013,T-150,Addison South,Ending Balance,11618328
2013,T-067,Archer Courts,Beginning Balance,1591681
2013,T-067,Archer Courts,Ending Balance,1860322
2013,T-099,Archer/Central,Beginning Balance,3334113
2013,T-099,Archer/Central,Ending Balance,3417622
2013,T-163,Archer/Western,Beginning Balance,862109
2013,T-163,Archer/Western,Ending Balance,842681
2013,T-151,Armitage/Pulaski,Beginning Balance,1240597
2013,T-151,Armitage/Pulaski,Ending Balance,1172204
2013,T-156,Austin Commercial,Beginning Balance,4485161
2013,T-156,Austin Commercial,Ending Balance,4321034
2013,T-123,Avalon Park/South Shore,Beginning Balance,2953460
2013,T-123,Avalon Park/South Shore,Ending Balance,2665980
2013,T-167,Avondale,Beginning Balance,1221095
2013,T-167,Avondale,Ending Balance,1165661
2013,T-081,Belmont/Central,Beginning Balance,11304759
2013,T-081,Belmont/Central,Ending Balance,11432894
2013,T-082,Belmont/Cicero,Beginning Balance,4024612
2013,T-082,Belmont/Cicero,Ending Balance,4713161
2013,T-061,Bronzeville,Beginning Balance,14951517
2013,T-061,Bronzeville,Ending Balance,16158744
2013,T-013,Bryn Mawr/Broadway,Beginning Balance,10587288
2013,T-013,Bryn Mawr/Broadway,Ending Balance,10831431
2013,T-059,Calumet Avenue/Cermak Road,Beginning Balance,17640943
2013,T-059,Calumet Avenue/Cermak Road,Ending Balance,15951693
2013,T-168,Calumet River,Beginning Balance,0
2013,T-168,Calumet River,Ending Balance,0
2013,T-063,Canal/Congress,Beginning Balance,49237938
2013,T-063,Canal/Congress,Ending Balance,61191121
2013,T-086,Central West,Beginning Balance,56159644
2013,T-086,Central West,Ending Balance,68384833
2013,T-170,Chicago Lakeside Development Ph.1,Beginning Balance,0
2013,T-170,Chicago Lakeside Development Ph.1,Ending Balance,0
2013,T-115,Chicago/Central Park,Beginning Balance,68110028
2013,T-115,Chicago/Central Park,Ending Balance,66436822
2013,T-094,Chicago/Kingsbury,Beginning Balance,35641495
2013,T-094,Chicago/Kingsbury,Ending Balance,50158372
2013,T-096,Cicero/Archer,Beginning Balance,6925878
2013,T-096,Cicero/Archer,Ending Balance,7190397
2013,T-074,Clark Street and Ridge Avenue,Beginning Balance,8872079
2013,T-074,Clark Street and Ridge Avenue,Ending Balance,6598692
2013,T-070,Clark/Montrose,Beginning Balance,9549388
2013,T-070,Clark/Montrose,Ending Balance,7640521
2013,T-128,Commercial Avenue,Beginning Balance,10413847
2013,T-128,Commercial Avenue,Ending Balance,11210265
2013,T-134,Devon/Sheridan,Beginning Balance,1254578
2013,T-134,Devon/Sheridan,Ending Balance,4421051
2013,T-076,Devon/Western,Beginning Balance,7967156
2013,T-076,Devon/Western,Ending Balance,7596900
2013,T-129,Diversey/Narragansett,Beginning Balance,2213477
2013,T-129,Diversey/Narragansett,Ending Balance,2554087
2013,T-107,Division/Homan,Beginning Balance,7451105
2013,T-107,Division/Homan,Ending Balance,7963214
2013,T-122,Drexel Boulevard,Beginning Balance,183635
2013,T-122,Drexel Boulevard,Ending Balance,139656
2013,T-130,Edgewater/Ashland,Beginning Balance,1675111
2013,T-130,Edgewater/Ashland,Ending Balance,1878764
2013,T-153,Elston/Armstrong Industrial Corridor,Beginning Balance,1522099
2013,T-153,Elston/Armstrong Industrial Corridor,Ending Balance,1426224
2013,T-021,Englewood Mall,Beginning Balance,4817041
2013,T-021,Englewood Mall,Ending Balance,4722778
2013,T-106,Englewood Neighborhood,Beginning Balance,24159463
2013,T-106,Englewood Neighborhood,Ending Balance,24050836
2013,T-169,Ewing Avenue,Beginning Balance,722080
2013,T-169,Ewing Avenue,Ending Balance,3663825
2013,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Beginning Balance,906489
2013,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Ending Balance,929691
2013,T-087,Fullerton/Milwaukee,Beginning Balance,23134413
2013,T-087,Fullerton/Milwaukee,Ending Balance,24575181
2013,T-071,Galewood/Armitage Industrial,Beginning Balance,23481280
2013,T-071,Galewood/Armitage Industrial,Ending Balance,24371478
2013,T-023,Goose Island,Beginning Balance,12891725
2013,T-023,Goose Island,Ending Balance,13320394
2013,T-066,Greater Southwest Industrial Corridor (East),Beginning Balance,2870599
2013,T-066,Greater Southwest Industrial Corridor (East),Ending Balance,3202102
2013,T-092,Greater Southwest Industrial Corridor (West),Beginning Balance,9000524
2013,T-092,Greater Southwest Industrial Corridor (West),Ending Balance,8339476
2013,T-148,Harlem Industrial Park Conservation Area,Beginning Balance,671264
2013,T-148,Harlem Industrial Park Conservation Area,Ending Balance,554943
2013,T-144,Harrison/Central,Beginning Balance,1482249
2013,T-144,Harrison/Central,Ending Balance,1066219
2013,T-157,Hollywood/Sheridan,Beginning Balance,1425704
2013,T-157,Hollywood/Sheridan,Ending Balance,3531593
2013,T-024,Homan-Arthington,Beginning Balance,5158883
2013,T-024,Homan-Arthington,Ending Balance,4090429
2013,T-108,Humboldt Park Commercial,Beginning Balance,6777370
2013,T-108,Humboldt Park Commercial,Ending Balance,7781811
2013,T-165,Irving Park/Elston,Beginning Balance,786837
2013,T-165,Irving Park/Elston,Ending Balance,748278
2013,T-027,Irving/Cicero,Beginning Balance,720812
2013,T-027,Irving/Cicero,Ending Balance,345020
2013,T-057,Jefferson Park Business District,Beginning Balance,4443966
2013,T-057,Jefferson Park Business District,Ending Balance,4263439
2013,T-101,Jefferson/Roosevelt,Beginning Balance,15535928
2013,T-101,Jefferson/Roosevelt,Ending Balance,18359351
2013,T-160,Kennedy/Kimball,Beginning Balance,721537
2013,T-160,Kennedy/Kimball,Ending Balance,615650
2013,T-052,Kinzie Industrial Corridor,Beginning Balance,48824818
2013,T-052,Kinzie Industrial Corridor,Ending Balance,48112530
2013,T-162,Kostner Avenue,Beginning Balance,962
2013,T-162,Kostner Avenue,Ending Balance,-233
2013,T-103,Lake Calumet Area Industrial,Beginning Balance,14638952
2013,T-103,Lake Calumet Area Industrial,Ending Balance,6617852
2013,T-119,Lakefront,Beginning Balance,378983
2013,T-119,Lakefront,Ending Balance,579339
2013,T-147,LaSalle Central,Beginning Balance,18783305
2013,T-147,LaSalle Central,Ending Balance,31173086
2013,T-109,Lawrence/Broadway,Beginning Balance,13169640
2013,T-109,Lawrence/Broadway,Ending Balance,12130097
2013,T-088,Lawrence/Kedzie,Beginning Balance,20096429
2013,T-088,Lawrence/Kedzie,Ending Balance,22044393
2013,T-116,Lawrence/Pulaski,Beginning Balance,9007491
2013,T-116,Lawrence/Pulaski,Ending Balance,7306554
2013,T-077,Lincoln Avenue,Beginning Balance,10404107
2013,T-077,Lincoln Avenue,Ending Balance,9880188
2013,T-028,Lincoln-Belmont-Ashland,Beginning Balance,1620286
2013,T-028,Lincoln-Belmont-Ashland,Ending Balance,1402934
2013,T-164,Little Village East,Beginning Balance,460644
2013,T-164,Little Village East,Ending Balance,452958
2013,T-152,Little Village Industrial Corridor,Beginning Balance,1551257
